frame,center_x,center_y,speed_m_s
0,595.125,180.125,0.0
1,590.0,174.5,182.44833
2,585.125,168.875,178.46643
3,579.875,163.125,186.68227
4,574.875,157.875,173.82619
5,569.875,152.125,182.69432
6,565.125,146.875,169.7479
7,560.875,141.125,171.43277
8,555.875,136.125,169.5361
9,551.125,130.875,169.7479
10,546.125,125.875,169.5361
11,541.5,120.875,163.30229
12,537.0,115.5,168.07283
13,532.875,110.125,162.44753
14,527.6666870117188,105.33333587646484,169.6828
15,523.5,100.5,153.00089
16,519.0,95.5,161.28221
17,515.6666870117188,92.66666412353516,104.89002
18,515.5,93.0,8.93561
19,514.5,93.5,26.806011
20,513.5,93.5,23.976025
21,512.6666870117188,93.66666412353516,20.375214
22,512.0,93.75,16.108898
23,511.5,94.0,13.403006
24,510.5,94.5,26.806011
25,509.79998779296875,94.4000015258789,16.953896
26,508.5,94.5,31.260618
27,508.0,94.5,11.988012
28,507.5,94.5,11.988012
29,506.5,95.0,26.806011
30,505.5,95.0,23.976025
31,504.75,95.0,17.98202
32,504.5,95.5,13.403006
33,503.5,95.5,23.976025
34,502.5,95.5,23.976025
35,502.0,95.5,11.988012
36,501.0,95.5,23.976025
37,500.5,95.5,11.988012
38,499.5,95.5,23.976025
39,499.3333435058594,95.66666412353516,5.6509876
40,498.5,95.5,20.37593
41,497.6666564941406,95.66666412353516,20.37593
42,496.5,96.0,29.091131
43,496.3333435058594,96.33333587646484,8.935283
44,495.5,96.5,20.37593
45,494.5,96.5,23.976025
46,494.0,96.5,11.988012
47,493.5,96.5,11.988012
48,492.5,96.5,23.976025
49,491.6666564941406,96.66666412353516,20.37593
50,491.3333435058594,97.33333587646484,17.870565
51,490.6666564941406,97.33333587646484,15.984505
52,490.0,97.0,17.870483
53,489.0,97.5,26.806011
54,489.0,97.5,0.0
55,466.0,97.0,551.57886
56,466.0,98.0,23.976025
57,466.0,98.0,0.0
58,466.0,98.0,0.0
59,,,0.0
60,,,0.0
61,466.0,99.0,23.976025
62,466.0,109.5,251.74826
63,448.5,117.0,456.4899
64,436.1666564941406,123.83333587646484,338.0584
65,423.875,130.875,339.63956
66,412.0,138.0,332.03223
67,399.79998779296875,144.8000030517578,334.87595
68,388.1428527832031,152.2857208251953,332.15643
69,376.625,159.5,325.85065
70,365.25,166.875,325.03323
71,353.75,174.125,325.94388
72,342.625,181.75,323.37094
73,331.125,189.125,327.552
74,320.25,196.875,320.17477
75,309.625,204.75,317.08804
76,298.375,212.5,327.5383
77,288.25,219.875,300.329
78,277.875,227.875,314.11395
79,267.625,235.75,309.91098
80,258.125,243.125,288.35156
81,248.25,250.875,300.97134
82,238.5,259.0,304.29547
83,230.0,266.0,264.00858
84,220.60000610351562,274.20001220703125,299.0764
85,212.1999969482422,281.6000061035156,268.40308
86,208.0,284.5,122.37157
87,204.5,287.0,103.12479
88,201.14285278320312,289.71429443359375,103.50824
89,198.0,292.0,93.17385
90,194.1666717529297,295.1666564941406,119.21201
91,190.5,297.5,104.20327
92,187.1666717529297,300.1666564941406,102.3474
93,183.625,303.25,112.58639
94,181.5,305.5,74.20231
95,178.0,308.0,103.12479
96,175.39999389648438,310.79998779296875,91.612144
97,172.5,313.5,95.00083
98,170.0,315.5,76.760735
99,167.5,318.5,93.62937
100,165.125,322.125,103.905716
101,162.75,323.25,63.00838
102,161.0,324.71429443359375,54.70874
103,158.6666717529297,326.8333435058594,75.571236
104,157.0,329.75,80.54189
105,155.0,332.0,72.17739
106,153.60000610351562,334.20001220703125,62.52199
107,151.8333282470703,336.1666564941406,63.384014
108,151.0,338.0,48.284073
109,149.8000030517578,339.6000061035156,47.952126
110,148.5,341.0,45.806072
111,147.60000610351562,343.20001220703125,56.990574
112,147.0,344.5,34.32824
113,146.0,346.0,43.223392
114,145.8000030517578,347.3999938964844,33.907066
115,145.39999389648438,348.79998779296875,34.90954
116,145.5,349.5,16.95392
117,145.25,351.0,36.460117
118,145.39999389648438,352.20001220703125,28.995405
119,,,0.0
120,137.0,348.0,225.17049
121,129.0,343.0,226.18936
122,122.0,338.5,199.52028
